domain,rho,p_value,group
Income,0.41399289253826266,7.058788173936566e-8,rural
Employment,0.5140396626371172,5.752894479138726e-12,rural
Health,0.5438336010094238,1.831654887427259e-13,rural
Education,0.4601828808108064,1.3306587939208241e-9,rural
Access to Services,-0.832686989054164,1.2510449222873535e-41,rural
Housing,-0.7654230125123439,1.7706703240615305e-31,rural
Community Safety,0.4994815958162274,2.754771328802261e-11,rural
Physical Environment,-0.3061056123414327,9.664913744035482e-5,rural
Income,0.10408929648042646,0.17805129782998108,urban
Employment,0.10910949633682285,0.15791586590893697,urban
Health,0.08415745590935308,0.27665766527990926,urban
Education,0.056395249399643764,0.46644407282512246,urban
Access to Services,-0.43850049256361395,2.4769641641195518e-9,urban
Housing,0.2563023290450362,7.694249895058988e-4,urban
Community Safety,0.11116913895978946,0.150168361466232,urban
Physical Environment,0.07977749266802352,0.30251520036213436,urban
